Origil raw file me,Converted file me,Re-annotated raw file me (userme_date_PI_Country_sampletag),NumReplicates,Organism,In Vivo or In vitro Process,Tissue type,Cell type,Culture conditions,Disease state,Comments,MHC class I or II,MHC Allele,PMID,SYSMHCID,Peptide,isolation method,antibody,"sample amount (cell number, weight of tissue)",fraction of sample measured,mass spectrometer,LC system,iRT peptides ,Acquisition mode,Fragmentation method,Gradient ,Gradient lenght (min),Flow rate,Column,Statiory Phase,Gradient details
SYSMHC00001_C1R1_Mosh_RS_20141103_B2702_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2702_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,1,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R1_Mosh_RS_20141103_B2703_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2703_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,2,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R1_Mosh_RS_20141103_B2704_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2704_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,3,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R1_Mosh_RS_20141103_B2705_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2705_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,4,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R1_Mosh_RS_20141103_B2706_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2706_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,5,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R1_Mosh_RS_20141103_B2707_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2707_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,6,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R1_Mosh_RS_20141103_B2708_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2708_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,7,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R1_Mosh_RS_20141103_B2709_IDA.wiff,SYSMHC00001_C1R1_Mosh_RS_20141103_B2709_IDA.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,8,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),no,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R2_Mosh_RS_20150125_B2705_IDA_1.wiff,SYSMHC00001_C1R2_Mosh_RS_20150125_B2705_IDA_1.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,9,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
SYSMHC00001_C1R2_Mosh_RS_20150128_B2705_IDA_1.wiff,SYSMHC00001_C1R2_Mosh_RS_20150128_B2705_IDA_1.mzXML,SYSMHC00001_schittenhelmr_160207_Purcell_Australia_C1R,10,Human,In vitro,Blood,B lymphoblast,suspension,,EBV transformed,class I,"B27,C07",26154972,SYSMHC00001,native,Immunoaffinity,W6/32,,,Triple-TOF 5600,no-LC Ultra HPLC (Eksigent),yes,DDA,,2-32% ACN,120,,,,
